"","area","le"
"9","E06000047",77.6
"10","E06000005",78.1
"11","E06000001",76.7
"12","E06000002",75.7
"13","E06000048",78.4
"14","E06000003",78.1
"15","E06000004",77.8
"17","E08000020",76.7
"18","E08000021",77.1
"19","E08000022",77.7
"20","E08000023",76.2
"21","E08000024",76.6
"23","E06000008",75.9
"24","E06000009",73.4
"25","E06000049",80.1
"26","E06000050",78.8
"27","E06000006",76.5
"28","E06000007",77.7
"30","E07000026",77.5
"31","E07000027",76.2
"32","E07000028",77.9
"33","E07000029",76.8
"34","E07000030",79.4
"35","E07000031",80.3
"37","E08000001",77
"38","E08000002",77.5
"39","E08000003",74.5
"40","E08000004",76.6
"41","E08000005",76.3
"42","E08000006",75.6
"43","E08000007",79.4
"44","E08000008",75.8
"45","E08000009",79.2
"46","E08000010",77
"48","E07000117",74.9
"49","E07000118",78.4
"50","E07000119",78.3
"51","E07000120",75.7
"52","E07000121",76.8
"53","E07000122",77.1
"54","E07000123",76.8
"55","E07000124",79.6
"56","E07000125",76.9
"57","E07000126",79.5
"58","E07000127",78
"59","E07000128",77.5
"61","E08000011",76
"62","E08000012",75.7
"63","E08000014",77.1
"64","E08000013",77.5
"65","E08000015",77.6
"67","E06000011",79.2
"68","E06000010",76.2
"69","E06000012",77.3
"70","E06000013",77.8
"71","E06000014",79.1
"73","E07000163",79.7
"74","E07000164",80.6
"75","E07000165",80.1
"76","E07000166",79.3
"77","E07000167",79.9
"78","E07000168",77.2
"79","E07000169",78.7
"81","E08000016",77.4
"82","E08000017",77.1
"83","E08000018",77.6
"84","E08000019",78.4
"86","E08000032",77.2
"87","E08000033",77
"88","E08000034",77.9
"89","E08000035",77.8
"90","E08000036",77.4
"92","E06000015",78.1
"93","E06000016",76.6
"94","E06000018",76.5
"95","E06000017",79.9
"97","E07000032",78.6
"98","E07000033",77.2
"99","E07000034",77.1
"100","E07000035",80.3
"101","E07000036",79.3
"102","E07000037",79.3
"103","E07000038",79
"104","E07000039",78.8
"106","E07000129",80
"107","E07000130",79.1
"108","E07000131",79.6
"109","E07000132",79.6
"110","E07000133",79.2
"111","E07000134",78.7
"112","E07000135",79.3
"114","E07000136",78
"115","E07000137",77.2
"116","E07000138",76.9
"117","E07000139",80.1
"118","E07000140",78.9
"119","E07000141",79.6
"120","E07000142",78.7
"122","E07000150",76.4
"123","E07000151",78.8
"124","E07000152",79.3
"125","E07000153",78.5
"126","E07000154",76.9
"127","E07000155",81.5
"128","E07000156",79.3
"130","E07000170",77
"131","E07000171",77.9
"132","E07000172",79.4
"133","E07000173",79.9
"134","E07000174",77.6
"135","E07000175",78.7
"136","E07000176",80.3
"138","E06000019",79.2
"139","E06000051",79.5
"140","E06000021",76.3
"141","E06000020",77.3
"143","E07000192",78
"144","E07000193",77.8
"145","E07000194",79.2
"146","E07000195",78.3
"147","E07000196",79.5
"148","E07000197",79.7
"149","E07000198",78.9
"150","E07000199",78.7
"152","E07000218",77.9
"153","E07000219",77.6
"154","E07000220",79.6
"155","E07000221",80.3
"156","E07000222",79.9
"158","E08000025",77.3
"159","E08000026",77.7
"160","E08000027",78.5
"161","E08000028",76.4
"162","E08000029",80.2
"163","E08000030",77.5
"164","E08000031",76.9
"166","E07000234",79.7
"167","E07000235",79.6
"168","E07000236",78.2
"169","E07000237",78.1
"170","E07000238",80.1
"171","E07000239",78.5
"173","E06000055",78.8
"174","E06000056",80.1
"175","E06000032",77.4
"176","E06000031",77.4
"177","E06000033",79.2
"178","E06000034",78.6
"180","E07000008",79.3
"181","E07000009",80.8
"182","E07000010",78.4
"183","E07000011",80.4
"184","E07000012",82.3
"186","E07000066",79
"187","E07000067",79.1
"188","E07000068",80.7
"189","E07000069",79.2
"190","E07000070",80.3
"191","E07000071",79.2
"192","E07000072",79.7
"193","E07000073",77.4
"194","E07000074",79.7
"195","E07000075",80.5
"196","E07000076",77.4
"197","E07000077",81.1
"199","E07000095",80
"200","E07000096",79.7
"201","E07000097",80.5
"202","E07000098",80
"203","E07000099",79.4
"204","E07000100",81.2
"205","E07000101",78.9
"206","E07000102",79.6
"207","E07000103",78.5
"208","E07000104",79.4
"210","E07000143",79.5
"211","E07000144",80.9
"212","E07000145",77.3
"213","E07000146",79
"214","E07000147",79.8
"215","E07000148",78.3
"216","E07000149",80.8
"218","E07000200",81.3
"219","E07000201",78.9
"220","E07000202",78.7
"221","E07000203",81
"222","E07000204",80.9
"223","E07000205",80
"224","E07000206",78.7
"227","E09000007",80
"229","E09000012",77.1
"230","E09000013",78.5
"231","E09000014",78.9
"232","E09000019",77.3
"233","E09000020",81.5
"234","E09000022",77.8
"235","E09000023",77.8
"236","E09000025",77.3
"237","E09000028",77.6
"238","E09000030",76.5
"239","E09000032",78.7
"240","E09000033",80.6
"242","E09000002",77.1
"243","E09000003",81.1
"244","E09000004",79.9
"245","E09000005",79.5
"246","E09000006",80.6
"247","E09000008",78.9
"248","E09000009",78.8
"249","E09000010",80.1
"250","E09000011",78
"251","E09000015",81.6
"252","E09000016",78.9
"253","E09000017",79.5
"254","E09000018",79
"255","E09000021",80.8
"256","E09000024",79.7
"257","E09000026",79.9
"258","E09000027",81.2
"259","E09000029",80
"260","E09000031",78.7
"262","E06000036",80.2
"263","E06000043",78.2
"264","E06000046",79.4
"265","E06000035",78.1
"266","E06000042",78.3
"267","E06000044",77.7
"268","E06000038",77.8
"269","E06000039",77.8
"270","E06000045",78.1
"271","E06000037",80.3
"272","E06000040",80.5
"273","E06000041",81
"275","E07000004",79.3
"276","E07000005",81.3
"277","E07000006",80.7
"278","E07000007",80.8
"280","E07000061",78.1
"281","E07000062",76.8
"282","E07000063",80.3
"283","E07000064",79.4
"284","E07000065",80.4
"286","E07000084",80.3
"287","E07000085",80.6
"288","E07000086",81
"289","E07000087",80.3
"290","E07000088",78.4
"291","E07000089",82.2
"292","E07000090",79
"293","E07000091",81.4
"294","E07000092",78.4
"295","E07000093",80.2
"296","E07000094",81.4
"298","E07000105",80.7
"299","E07000106",79.6
"300","E07000107",78.5
"301","E07000108",78.6
"302","E07000109",78.9
"303","E07000110",79.4
"304","E07000111",80.9
"305","E07000112",78.7
"306","E07000113",78.8
"307","E07000114",77
"308","E07000115",80
"309","E07000116",80.9
"311","E07000177",79.6
"312","E07000178",78.3
"313","E07000179",80.5
"314","E07000180",80.8
"315","E07000181",80.1
"317","E07000207",81
"318","E07000208",81.3
"319","E07000209",81.5
"320","E07000210",81
"321","E07000211",80.3
"322","E07000212",80.3
"323","E07000213",79.4
"324","E07000214",80.4
"325","E07000215",80
"326","E07000216",81.4
"327","E07000217",79.8
"329","E07000223",79.5
"330","E07000224",79.1
"331","E07000225",80.4
"332","E07000226",78.8
"333","E07000227",80.9
"334","E07000228",81.4
"335","E07000229",78.1
"337","E06000022",80.1
"338","E06000028",78.1
"339","E06000023",78
"340","E06000052",79.2
"342","E06000024",79.1
"343","E06000026",77.9
"344","E06000029",79.6
"345","E06000025",80.6
"346","E06000030",78.8
"347","E06000027",78.5
"348","E06000054",80.1
"350","E07000040",80.8
"351","E07000041",79.2
"352","E07000042",79.4
"353","E07000043",79
"354","E07000044",80.7
"355","E07000045",79.5
"356","E07000046",79.3
"357","E07000047",78.9
"359","E07000048",81.1
"360","E07000049",82.3
"361","E07000050",80.8
"362","E07000051",79.7
"363","E07000052",80.3
"364","E07000053",77.7
"366","E07000078",80
"367","E07000079",80.4
"368","E07000080",78.9
"369","E07000081",77.4
"370","E07000082",79.9
"371","E07000083",79.5
"373","E07000187",79.9
"374","E07000188",80
"375","E07000189",80.3
"376","E07000190",79.2
"377","E07000191",78.1
